tweet_id,post_type,text
1,reply,@varadmehta LOL. Yet Matt Gaetz is a MAGA hero .
2,reply,@evan_kapitansky You are right. Love from a conservative lady from Sweden. I love NYC btw 🥰
3,tweet,"In my opinion, The Trump administration could find a strong woman in this individual. She is well articulated and has a great insight on what is going on and has solutions on how we can fix America. #MAGA https://t.co/mcbDGaieZD"
4,tweet,Harlan Crow helped fund Swiftboating. Trump campaign continues that legacy in Walz attack
5,reply,"@mirandadevine @MariaBartiromo We need to out vote the cheat and have every single polling station & ballot drop box exhaustively monitored and every mail in ballot scrutinized 
@LaraLeaTrump’s #RNC has ~157,000 on board volunteers. Most have received training the others getting trained. More coming"
6,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024"
7,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator"
8,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill."
9,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events
10,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”"
11,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n
12,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker"
13,tweet,"Trump & MAGA politics crushes by far the Harris & Waltz traitors
 https://t.co/Xo5msZZ1iy"
14,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK
15,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit"""
16,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years & the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide"
17,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024
18,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.
19,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP"
20,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?
21,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact."
22,reply,@Acyn Is this the point where MAGA heads start exploding!!??
23,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time"""
24,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch
25,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹
26,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President."
27,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V"
28,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿
29,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯
30,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!"
31,tweet,Donald Trump’s campaign. https://t.co/mQTedylMco
32,reply,@MTGrepp I don’t want Donald Trump to do this stuff because they’ll say see he’s coming after his enemies and that’s all the media will say so it needs to be a bipartisan independent agency investigating every January 6 person that went after an imprisoned innocent people
33,quote,FKH and her buddy FJB … and her “weird matey”… !!! NOPE not buyin’ it..!
34,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.
35,quote,If Donald Trump loses this election this Country is finished as we know it.
36,tweet,"Wow, MAGA supporters walking on Donald during a speech was awesome to see. 

They know they’re  even conned."
37,reply,@stillgray Do you know how many friends I've lost in my turn to conservative for the reasons this dumb b***h epitomizes?! I'm fucking moving in part bc if it and this pariah decides there's more money in J*w bating low iq mud snakes. Ffs!
38,reply,@MAGA_TheMoon Realy...
39,reply,@BettyBowers I think less quid and more Riyals. But now we know who are back rolling Trump and the RNC (I refuse to call it the GOP. There's nothing greens about it).
40,reply,"@GaryWalters66 @IRAtheGhostARI Problem is Gary, they aren’t going to investigate themselves. They’re all corrupt. Another problem is they think we’re work for them, they work for us. They forgot that part. We may need to do something if 24 goes south. I hope not.
Trump24🇺🇸"
41,reply,"@YourAnonNews (MAGA) Make America great again is a movement, not a party nor a group. Its the Republican party"
42,reply,"@ruffydfire The only flaws in Trump are personal flaws. Donald Trump is a pervert, Donald Trump is a felon because of tax evasion. Can you talk about his performance as a president of America and how it impacted the lives of the American people. He without sin should cast the first stone."
43,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.
44,reply,@galacticaactual This is one of the many reasons we have the 2nd Amendment in the States. The want us to be compliant little slaves. Absolute power corrupts absolutely so we can't give them that power over us. They work for us not the other way around. #MAGA
45,reply,"@Orangadan1 @iamharaldur One can both believe in socialism and be resistant to change (conservative). The two are separate considerations. The Nazis were highly conservative, they hated the changes they saw in German society and wanted to wind back the clock."
46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5"
47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.
48,tweet,".@megynkelly you spray out your #Trump @GOP cult #propaganda, while The Huckster himself (incl his latest, unhinged @AI generated crowd imagery lies) is fully, publicly, displaying his “mental health” issues & uncontrolled pathologies. He IS running for #USA president! #democracy"
49,reply,@RKGold @TheJordanRachel Like all Trump supporters😂😂😂😂 the Donald Trump reform immigration to make it harder to work illegally?
50,quote,"the HAMAS wing of Congress must go....
same with the MAGA wing....."
51,reply,"@GOP_Democracy @SykesCharlie @daveweigel No, they’re in a cult"
52,reply,"@thetrueshelby These are actual MAGA posts and billboards.

Mike Fuckabee AKA Mike #Hypocrite https://t.co/X2RnmBgEQF"
53,reply,@Lynnebf_2846 @RNC They are liars.
54,reply,"@N00saGirl Yep! Funny how Kamala's ""platform"" is finally dropping next week—right after the Trump hack news. Coincidence? Maybe she just needed some ""inspiration"" from the GOP. Plagiarism runs deep in the Dems, and Kamala's just keeping the tradition alive."
55,reply,"@goddeketal I used to have Eric Carmen follow me. He was a great singer, and a great conservative."
56,reply,@elonmusk we love Donald Trump to be President of USA. Elon Musk is a special guest of honor.
57,reply,"@heatfan_YG71 @RepMTG Probably true because in this case, the “no matter what“ happens to be Donald Trump."
58,reply,@highbrow_nobrow @AccountableGOP Deflect & Deny. That should be the new MAGA motto.
59,reply,"@RpsAgainstTrump @seatedinperil My favorite was #26, truly gives the perspective of the enormity at stake https://t.co/SWG4a73VUf"
60,reply,"@GuntherEagleman it started cause the white man didn't like seeing a black man become commander in chief. it's how we get to project 2025, Trump puppet wants to implement..    but gop Maga supporting an old weak man who yells on X and rambles wil be disappointed just like his loss in 2020."
61,reply,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.
62,reply,"@RonFilipkowski That's more than weird, that's a threat. Can you even imagine a time before MAGA where someone would drive down the road with something like that on their vehicle? 

Trump and his followers have changed America for the worse."
63,reply,@JaniceTibbetts1 @quadcarl_carl @patriotmary4 @realDonaldTrump I did Google it and Yahoo Finance tells a completely different story. It states Trump will leave it unchanged and the retirement age will not be changed either. Nikki Haley had proposed that.
64,reply,"@pr0ud_americans @NowPammsy Nooooooo!!!  Then I won’t be able to wear my 45,47 SHIRT!!  lol😅😂because then Trump will be 45,48!!!"
65,reply,"@deanteamscene @DocNetyoutube Regardless, it says if Merchan denies the motion for dismissal, Trump has a right to file an interlocutory appeal immediately to SCOTUS… they won’t appreciate a lower court trying to say, “well, we only used a sliver of Presidential immunity activities to prosecute Trump”.

😉👍🏻"
66,reply,@DefiantLs If she gets a Donald Trump trial that’s fixed and corrupt she’ll probably get awarded $50 billion. if she gets an actual real trial will find out that she has an XY chromosome and other juicy details that will damage her reputation and possibly lose her gold medal
67,reply,@RonFilipkowski When republicans screw up they sue like all losers. They rarely win and usually cry in the media first.
68,reply,@_johnnymaga Forced enthusiasm
